doc_id_1,doc_id_2,shared_bands,jaccard,decision
37435,37006,3,0.5526,below_threshold
37435,30879,3,0.5526,below_threshold
37435,92323,2,0.4186,below_threshold
37435,31248,1,0.5250,below_threshold
37435,33389,1,0.5385,below_threshold
34762,27260,3,0.6176,below_threshold
34762,34807,4,0.6364,below_threshold
34762,50476,3,0.6364,below_threshold
34762,34939,2,0.6562,below_threshold
34762,36357,1,0.5000,below_threshold
34762,24152,3,0.6176,below_threshold
34762,54732,1,0.5250,below_threshold
34762,37226,2,0.6562,below_threshold
34762,37006,4,0.6562,below_threshold
34762,30879,4,0.6562,below_threshold
34762,92323,1,0.4865,below_threshold
34762,31248,3,0.6176,below_threshold
34762,33389,3,0.6364,below_threshold
27260,34807,4,0.6176,below_threshold
27260,50476,4,0.6176,below_threshold
27260,34939,4,0.6364,below_threshold
27260,36357,1,0.4884,below_threshold
27260,24152,3,0.6000,below_threshold
27260,54732,2,0.5122,below_threshold
27260,37226,3,0.6364,below_threshold
27260,37006,5,0.6364,below_threshold
27260,30879,5,0.6364,below_threshold
27260,92323,2,0.6471,below_threshold
27260,31248,1,0.6000,below_threshold
27260,33389,3,0.6176,below_threshold
34807,50476,2,0.6364,below_threshold
34807,34939,3,0.6562,below_threshold
34807,36357,1,0.5000,below_threshold
34807,24152,2,0.6176,below_threshold
34807,54732,1,0.5250,below_threshold
34807,37226,2,0.6562,below_threshold
34807,37006,4,0.6562,below_threshold
34807,30879,3,0.6562,below_threshold
34807,92323,1,0.4865,below_threshold
34807,31248,4,0.6176,below_threshold
34807,33389,4,0.6364,below_threshold
50476,34939,2,0.6562,below_threshold
50476,36357,1,0.5000,below_threshold
50476,24152,2,0.6176,below_threshold
50476,54732,2,0.5250,below_threshold
50476,37226,2,0.6562,below_threshold
50476,37006,3,0.6562,below_threshold
50476,30879,3,0.6562,below_threshold
50476,92323,1,0.4865,below_threshold
50476,31248,2,0.6176,below_threshold
50476,33389,3,0.6364,below_threshold
34939,36357,1,0.5122,below_threshold
34939,24152,2,0.6364,below_threshold
