doc_id_1,doc_id_2,shared_bands
97453,1549,13
6250,4266,6
19063,94665,9
89476,41791,9
93116,615,2
96511,77924,6
54352,53622,6
54352,89152,5
54352,54382,7
54352,53532,13
53622,89152,3
53622,54382,4
53622,53532,5
89152,54382,7
89152,53532,5
54382,53532,6
8512,91768,11
71371,93679,7
37804,37288,5
92763,51870,5
59627,59510,8
51109,50765,5
1824,90456,7
44086,44129,9
97446,18596,12
99237,55628,14
88851,54328,2
87416,68867,2
99744,69718,13
36895,99114,11
26194,620,2
20472,99861,12
97077,65243,11
61283,99947,13
43583,43833,13
99124,60334,14
91682,21035,8
99122,58001,12
31701,88258,6
66623,66619,12
26298,26058,5
90080,76269,5
15185,93934,5
34296,95066,5
24410,25670,8
89795,87949,10
92774,63773,1
70062,92901,5
99922,5344,14
39118,39244,1
71464,92543,9
55142,54980,5
76761,95752,1
97914,27027,11
15663,95970,5
4292,4157,4
70149,66764,6
32916,90705,15
99910,24389,14
69882,64259,12
43178,87135,8
89971,52460,10
20610,19238,11
85704,10767,13
85704,10647,2
10767,10647,3
12028,12154,14
97138,245,12
65720,88650,3
2704,2754,2
78967,88448,5
85837,98694,12
40797,93144,7
96466,23871,7
46766,93958,2
94361,46810,11
98893,76469,14
5806,90838,12
26010,25845,10
2105,2123,10
57223,97025,10
89866,73038,10
44275,44358,7
15083,13876,5
29731,94573,4
90037,5449,14
2368,98713,14
18898,88034,14
38106,98571,14
3602,3622,9
6145,98025,11
97215,13437,8
90931,57307,4
6688,92670,6
91275,56402,7
27156,90313,9
50287,49395,1
32026,91423,6
90030,13141,13
43253,43469,7
18959,96915,5
18959,91847,6
96915,91847,3
95368,52212,11
22137,98457,11
49423,49287,7
85363,91028,3
65171,61495,2
65171,88976,4
65171,81262,4
65171,81483,3
65171,64317,3
65171,59416,3
65171,96584,3
65171,72028,2
65171,68215,2
65171,71053,2
65171,69270,4
65171,95344,1
65171,54876,3
65171,81550,2
61495,88976,2
61495,81262,5
61495,81483,4
61495,64317,3
61495,59416,3
61495,96584,3
61495,72028,5
61495,68215,6
61495,71053,8
61495,69270,4
61495,95344,1
61495,54876,4
61495,81550,4
88976,81262,3
88976,81483,2
88976,64317,3
88976,59416,2
88976,96584,2
88976,72028,2
88976,68215,2
88976,71053,2
88976,69270,3
88976,95344,2
88976,54876,2
88976,81550,2
81262,81483,4
81262,64317,5
81262,59416,5
81262,96584,4
81262,72028,3
81262,68215,3
81262,71053,5
81262,69270,7
81262,95344,1
