doc_id,row_idx
57022,519
68908,520
52121,521
4808,522
65565,523
31020,524
56845,525
61006,526
78863,527
31881,528
60473,529
94775,530
36677,531
33987,532
24671,533
10892,534
50084,535
75561,536
96794,537
57635,538
12104,539
63835,540
57516,541
47378,542
42508,543
24483,544
94700,545
30107,546
8978,547
57561,548
42270,549
33620,550
23670,551
64834,552
23920,553
67036,554
83642,555
15497,556
47276,557
28273,558
37132,559
65837,560
38819,561
80478,562
74676,563
77037,564
59593,565
3785,566
69643,567
67217,568
33052,569
8590,570
7981,571
22322,572
38793,573
40409,574
8581,575
80114,576
32231,577
62224,578
38477,579
83044,580
92359,581
55487,582
71417,583
72845,584
51102,585
70215,586
92229,587
41602,588
13447,589
29328,590
40679,591
62400,592
65683,593
52074,594
1558,595
35683,596
92403,597
53156,598
36152,599
37998,600
99690,601
14134,602
7850,603
28373,604
8543,605
83781,606
87025,607
84452,608
86401,609
1283,610
60980,611
4400,612
7786,613
84903,614
60068,615
54742,616
50151,617
43223,618
81140,619
63158,620
6938,621
23498,622
72452,623
76383,624
72889,625
24286,626
70927,627
15431,628
73907,629
71048,630
23364,631
22952,632
43799,633
66605,634
55498,635
61345,636
30305,637
81279,638
51569,639
57741,640
150,641
54028,642
1510,643
66545,644
36921,645
43659,646
89646,647
54877,648
83043,649
87497,650
1215,651
82107,652
2953,653
82328,654
99092,655
14551,656
94500,657
52478,658
8946,659
42121,660
9263,661
2192,662
98537,663
93303,664
96188,665
80006,666
73607,667
899,668
66264,669
73718,670
57101,671
81102,672
406,673
79826,674
22857,675
97546,676
10521,677
85391,678
5316,679
15551,680
96890,681
28350,682
53308,683
35038,684
40290,685
4472,686
68418,687
50585,688
84948,689
1620,690
67003,691
69659,692
42108,693
95557,694
66235,695
40307,696
55586,697
52893,698
52107,699
72594,700
31175,701
50569,702
35810,703
96633,704
94404,705
78327,706
72030,707
29500,708
10712,709
15812,710
6280,711
56703,712
50123,713
48938,714
10259,715
78876,716
92917,717
67062,718
30979,719
82228,720
32732,721
5237,722
90901,723
37909,724
3934,725
80399,726
28267,727
84990,728
18079,729
41573,730
75456,731
33763,732
80532,733
26027,734
81684,735
2058,736
46241,737
75889,738
82900,739
94398,740
20089,741
39298,742
22831,743
69083,744
15367,745
56144,746
11424,747
66850,748
46842,749
33460,750
91701,751
46530,752
12948,753
89755,754
78718,755
62161,756
66845,757
93755,758
77374,759
24963,760
97918,761
23482,762
53244,763
5766,764
95888,765
1120,766
814,767
25314,768
99685,769
4594,770
32825,771
38336,772
9276,773
79394,774
42802,775
93547,776
77909,777
61507,778
88627,779
94721,780
54545,781
46799,782
83548,783
58007,784
8213,785
36341,786
27397,787
31061,788
17374,789
87185,790
34176,791
51720,792
22725,793
247,794
11104,795
80923,796
29878,797
88679,798
55026,799
69404,800
76225,801
5395,802
4673,803
7185,804
45940,805
77903,806
18443,807
57683,808
76042,809
28649,810
41590,811
15949,812
97582,813
87448,814
38936,815
14067,816
2772,817
54936,818
93972,819
80457,820
27295,821
96006,822
92768,823
39531,824
70579,825
4009,826
66592,827
54171,828
99453,829
93047,830
28169,831
46667,832
84547,833
49049,834
14344,835
20237,836
93748,837
52327,838
1249,839
55268,840
9166,841
71458,842
89428,843
62476,844
78122,845
42398,846
595,847
59125,848
57434,849
46767,850
11075,851
3724,852
28362,853
84913,854
49848,855
98630,856
56048,857
8496,858
22141,859
84315,860
96669,861
79906,862
33118,863
26817,864
39593,865
67077,866
5515,867
73309,868
47879,869
11824,870
8755,871
40141,872
29935,873
63572,874
97444,875
2532,876
87922,877
20387,878
81159,879
30457,880
70778,881
29042,882
10886,883
66388,884
94213,885
9707,886
78832,887
99347,888
74156,889
58032,890
42483,891
43530,892
11586,893
67649,894
42206,895
64930,896
38906,897
64337,898
76209,899
92225,900
